case_id,exception_id,expected_type,predicted_type,classification_correct,run_status,steps,tool_calls,cost_usd,latency_seconds,explanation,evidence,fix_correct,fix_note,expected_cash_adjustment,proposed_cash_effect,expected_offset_account,proposed_offset_accounts,offset_account_match
CASE-001,EXC-09,missing_ledger_entry,missing_ledger_entry,True,completed,6,7,0.103503,33.07,"Bank line BNK-0025 (2026-08-06, ACH CREDIT ARNOLD LTD, reference INV-1063, +USD 6,595.32) cleared the operating account during the statement period, but a reference search for INV-1063 returns zero ledger entries (bank_transaction_count 1, ledger_entry_count 0), and the case shows reference_matched_elsewhere = false, so the receipt was not recorded under any other reference either. Supporting document DOC-032 is the customer invoice INV-1063 to Arnold Ltd, issue date 2026-06-27, due 2026-07-27, amount due USD 6,595.32 — exactly the amount received, and the timing is consistent with a past-due Net 30 invoice being settled in early August. The invoice is denominated in USD, so no FX conversion is involved, and there is no second bank line or ledger entry for this reference, so it is not a duplicate. This is therefore a genuine customer receipt that cleared the bank but was never booked: a missing ledger entry. Proposed fix: record the cash receipt by debiting 1000 Cash - Operating and crediting 1200 Accounts Receivable for USD 6,595.32 to clear Arnold Ltd's open invoice INV-1063.","BNK-0025, DOC-032",True,ok,6595.32,6595.32,1200 Accounts Receivable,1200 Accounts Receivable,True
CASE-002,EXC-13,fx_difference,fx_difference,True,completed,4,4,0.093313,23.78,"Same transaction on both sides: a EUR 7,050.22 vendor payment to Wilkerson-Day for BILL-5060 (vendor bill DOC-021 confirms EUR 7,050.22 due). The foreign amount agrees exactly on both sides; only the USD translation differs. The ledger entry GL-0025 (2026-08-05) used an FX rate of 1.1000, giving USD 7,755.24. The bank actually applied 1.0879, debiting USD 7,669.93 on 2026-08-06 (BNK-0026), which the bank's wire confirmation DOC-004 corroborates (rate 1.0879, USD debited 7,669.93, wire fee USD 0.00 — so no bank-fee component). The 85.31 difference is therefore purely an exchange-rate difference, not a timing, duplicate or fee issue. Because less USD cash left the account than the ledger recorded, cash is understated by 85.31 and the company realised an FX gain. Proposed fix: debit 1000 Cash - Operating 85.31 to bring the cash balance to the actual bank amount of 7,669.93, and credit 7100 FX Gain/Loss 85.31 to record the realised gain. Accounts Payable is untouched, as the full EUR 7,050.22 bill was settled. Note: the one-day date gap (ledger 08-05 vs bank value date 08-06) is a normal settlement lag and does not change the classification.","BNK-0026, GL-0025, DOC-004, DOC-021",True,ok,85.31,85.31,7100 FX Gain/Loss,7100 FX Gain/Loss,True
CASE-003,EXC-03,amount_mismatch,amount_mismatch,True,completed,5,6,0.104174,31.54,"Same transaction on both sides (reference INV-1021, customer Williams and Sons), recorded in the ledger with the wrong amount. The bank received an ACH credit of USD 7,678.07 on 2026-08-07 (BNK-0029), and the customer invoice DOC-011 shows the amount due as USD 7,678.07 — so the bank figure is the correct one and the customer paid the invoice in full. The ledger entry GL-0017 (2026-08-05) records only USD 6,778.07, understating cash and the receipt against AR by exactly USD 900.00. The difference looks like a keying error: the digits 7,6 were transposed to 6,7 (7,678.07 vs 6,778.07), with the cents identical. This is not FX (the ledger entry is USD with no foreign amount or rate), not a duplicate (find_transactions_by_reference shows exactly one bank line and one ledger entry for INV-1021, and the reference is not matched elsewhere), and not a timing difference (the payment did clear the bank within the statement period). The 2-day date gap (ledger 08-05 vs bank 08-07) is normal ACH settlement lag and does not itself need a correction. Proposed fix: increase cash by USD 900.00 and reduce accounts receivable by the same amount, bringing GL-0017 up to the 7,678.07 actually received and fully clearing the INV-1021 receivable.","BNK-0029, GL-0017, DOC-011",True,ok,900.0,900.0,1200 Accounts Receivable,1200 Accounts Receivable,True
CASE-004,EXC-02,duplicate,duplicate,True,completed,6,7,0.116757,34.22,"BILL-5051 (James Group) carries two ledger entries but only one bank line. GL-0042 (2026-08-07, -11,541.85) is already matched to bank line BNK-0036 (ACH DEBIT JAMES GROUP, 2026-08-07, -11,541.85), which settles the bill in full. GL-0047 (2026-08-10) is a second, identical -11,541.85 posting for the same vendor, same reference and same description, with no corresponding bank line.

The vendor bill DOC-028 shows a single amount due of USD 11,541.85 for BILL-5051, so only one payment was ever owed and only one left the bank. There is no evidence of a second obligation or a second disbursement, so GL-0047 is a duplicate posting rather than a payment still in transit (a timing difference would require an unpaid amount due, which the bill does not show).

Proposed fix: reverse the duplicate entry — debit 1000 Cash - Operating 11,541.85 to restore the cash overstated as paid, and credit 2000 Accounts Payable 11,541.85 to undo the double relief of the vendor liability. Note: the vendor bill is dated 2026-07-17 with Net 30 terms; if the accountant has any record of a genuine second disbursement to James Group clearing after 2026-08-31, this should be re-examined before approval, but nothing in the available data supports that.","GL-0047, GL-0042, BNK-0036, DOC-028",True,ok,11541.85,11541.85,2000 Accounts Payable,2000 Accounts Payable,True
CASE-005,EXC-11,fx_difference,fx_difference,True,completed,4,6,0.108616,30.48,"Same transaction on both sides, differing only by the exchange rate used. Vendor bill DOC-003 is for EUR 3,812.11 to Ross, Robinson and Bright (due 2026-08-15). Ledger entry GL-0053 (2026-08-11) records the payment of EUR 3,812.11 converted at 1.1000 = USD 4,193.32. Bank line BNK-0054 (value date 2026-08-12) shows the same EUR 3,812.11 wire, but the bank applied 1.1197, debiting USD 4,268.42; wire confirmation DOC-025 independently confirms EUR 3,812.11 at rate 1.1197 and USD 4,268.42 debited. The foreign-currency amount is identical on both sides and this is the only appearance of BILL-5058 in the bank and ledger data (no duplicate, no reference matched elsewhere), so this is not an amount-entry error or a timing issue — it is purely an FX rate difference of USD 75.10 (4,268.42 - 4,193.32), an unfavourable FX loss because the actual rate was higher than the booked rate. Proposed fix: debit 7100 FX Gain/Loss USD 75.10 and credit 1000 Cash - Operating USD 75.10, bringing the recorded cash outflow to the USD 4,268.42 the bank actually took. Note for the reviewer: DOC-025 also states a separate USD 35.00 wire fee was debited; that charge is not part of this case's bank line or ledger entry and is not included in this entry — if it appears as its own unreconciled bank line it should be handled under its own case.","BNK-0054, GL-0053, DOC-003, DOC-025",True,ok,-75.1,-75.1,7100 FX Gain/Loss,7100 FX Gain/Loss,True
CASE-006,EXC-12,fx_difference,fx_difference,True,completed,4,6,0.110978,31.37,"Same transaction on both sides: vendor payment to Gray-Mayo for BILL-5059, value date 2026-08-12 on both the bank line (BNK-0055) and the ledger entry (GL-0063), same reference, same foreign amount of GBP 9,400.31. Only the USD amount differs: bank -12,241.08 vs ledger -12,032.40, a difference of 208.68.\n\nThe cause is the exchange rate, not the underlying transaction. The bank description and the wire confirmation (DOC-012) both show the bank applied a rate of 1.3022 (GBP 9,400.31 x 1.3022 = USD 12,241.08 debited), while the accountant booked the entry at 1.2800 (GBP 9,400.31 x 1.2800 = USD 12,032.40). The rate gap alone explains the variance exactly: 9,400.31 x (1.3022 - 1.2800) = 208.69, matching the 208.68 difference to a rounding cent.\n\nThe vendor bill (DOC-005) confirms the obligation was GBP 9,400.31, so the foreign-currency amount paid was correct and in full - there is no over- or underpayment, no duplicate (only one bank line and one ledger entry carry this reference), and no timing issue (both dated 2026-08-12, within the statement period).\n\nFix: recognise the unfavourable FX movement. Debit 7100 FX Gain/Loss 208.68 and credit 1000 Cash - Operating 208.68, bringing ledger cash for this payment to the 12,241.08 actually debited by the bank.\n\nOne separate note for the reviewer: DOC-012 states a wire fee of USD 35.00 was ""debited separately"". That fee is not part of this 208.68 difference and is outside the scope of this case; it should be confirmed as either already matched or picked up as its own exception.","BNK-0055, GL-0063, DOC-005, DOC-012",True,ok,-208.68,-208.68,7100 FX Gain/Loss,7100 FX Gain/Loss,True
CASE-007,EXC-15,bank_fee,bank_fee,True,completed,6,8,0.131556,34.01,"BNK-0056 is a bank-only outflow of USD 35.00 dated 2026-08-12, described 'INTL WIRE TRANSFER FEE', channel 'bank_charge', with no reference and no ledger entry anywhere to match it. The bank's fee schedule (DOC-007) states that the first outgoing international wire each calendar month is free and every wire after that costs USD 35.00, debited as a separate statement line. Two international wires went out on 2026-08-12: BNK-0055 (BILL-5059, Gray-Mayo, confirmation DOC-012) and BNK-0054 (BILL-5058, Ross, Robinson and Bright, confirmation DOC-025), and both confirmations state 'Wire fee: USD 35.00, debited separately'. The month's first wire on 2026-08-06 (BILL-5060, DOC-004) was correctly charged USD 0.00. So two separate USD 35.00 fee lines are expected on 2026-08-12, and exactly two exist (BNK-0056 here and BNK-0057 under CASE-008) — this is therefore a genuine second-wire charge, not a duplicate. The charge was never recorded in the ledger, so the fix is to record the bank charge as an expense and reduce cash. (CASE-008 is the matching fee for the other wire and should be handled under its own case; I have not double-counted it here.)","BNK-0056, BNK-0057, DOC-007, DOC-012, DOC-025, DOC-004, BNK-0055, BNK-0054",True,ok,-35.0,-35.0,6100 Bank Fees,6100 Bank Fees,True
CASE-008,EXC-16,bank_fee,bank_fee,True,completed,6,8,0.137079,36.13,"BNK-0057 is a bank-only line dated 2026-08-12 for -35.00 described as 'INTL WIRE TRANSFER FEE', channel 'bank_charge', with no reference and no ledger counterpart. The bank's fee schedule (DOC-007) states the first outgoing international wire each calendar month is free and each subsequent wire costs USD 35.00, debited as a separate statement line. Two international wires were sent on 2026-08-12: BILL-5059 to Gray-Mayo (DOC-012, BNK-0055) and BILL-5058 to Ross, Robinson and Bright (DOC-025) — each confirmation states 'Wire fee: USD 35.00, debited separately'. The month's first wire on 2026-08-06 (BILL-5060, DOC-004) was charged USD 0.00. Two $35 fee lines therefore exist on the statement (BNK-0056 = CASE-007 and BNK-0057 = CASE-008), one per chargeable wire, so this is a genuine second fee rather than a duplicate posting. The charge was never recorded in the ledger, so the ledger should recognise the bank fee expense and reduce cash by 35.00.","BNK-0057, BNK-0056, DOC-007, DOC-012, DOC-025, BNK-0055, DOC-004",True,ok,-35.0,-35.0,6100 Bank Fees,6100 Bank Fees,True
CASE-009,EXC-04,amount_mismatch,amount_mismatch,True,completed,5,5,0.099899,37.53,"Same transaction on both sides (reference BILL-5043, same date 2026-08-14, same vendor Reid, Ferguson and Sanchez, same ACH outflow direction), but the USD amounts differ by 4,500.00. The vendor bill DOC-020 states the amount due is USD 12,784.20, and the bank line BNK-0071 cleared for exactly -12,784.20, so the bank agrees with the source document. The ledger entry GL-0072 was posted at -17,284.20, i.e. 4,500.00 too much; the figure looks like a keying/transposition error (12,784.20 recorded as 17,284.20). There is only one bank line and one ledger entry for this reference and the reference is not matched elsewhere, so this is not a duplicate or a timing issue, and the account is USD with no FX data, so it is not an FX difference. Correcting entry restores the 4,500.00 overstated cash outflow and reverses the corresponding over-debit of Accounts Payable, leaving the ledger showing a 12,784.20 payment that agrees with the bank. Note: no AP payment run or remittance document exists for this bill, so the correction rests on the vendor bill and the bank line, which agree with each other.","BNK-0071, GL-0072, DOC-020",True,ok,4500.0,4500.0,2000 Accounts Payable,2000 Accounts Payable,True
CASE-010,EXC-05,amount_mismatch,amount_mismatch,True,completed,4,4,0.110083,625.61,"Same transaction on both sides: BILL-5044, Baker and Sons, ACH vendor payment. The bank debited 4,369.74 on 2026-08-19 (BNK-0084); the ledger recorded 4,396.74 on 2026-08-17 (GL-0078), a difference of 27.00 (bank minus ledger). The vendor bill DOC-027 states the amount due is USD 4,369.74, which agrees with the bank, so the ledger amount is wrong — a digit transposition (4,396.74 vs 4,369.74). Only one bank line and one ledger entry carry this reference, so this is not a duplicate; the currency is USD with no FX rate, so it is not an FX difference; the payment did clear within the statement period, so it is not a timing difference. Correcting entry reduces the recorded cash outflow by 27.00 and reverses the corresponding 27.00 over-debit of Accounts Payable, bringing the ledger to the actual 4,369.74 paid and leaving BILL-5044 fully settled. The 2-day date difference (ledger 08-17 vs bank 08-19) is normal ACH settlement lag and needs no entry.","BNK-0084, GL-0078, DOC-027",True,ok,27.0,27.0,2000 Accounts Payable,2000 Accounts Payable,True
